2024-05-29 14:05:09,971:ERROR:Error fetching https://www.scrapethissite.com/pages/ajax-javascript/data?year=2015: 404 Client Error: NOT FOUND for url: https://www.scrapethissite.com/pages/ajax-javascript/data?year=2015
2024-05-29 14:05:09,976:ERROR:Failed to fetch AJAX data
2024-05-29 14:05:09,979:DEBUG:Starting new HTTPS connection (1): www.scrapethissite.com:443
2024-05-29 14:05:11,311:DEBUG:https://www.scrapethissite.com:443 "GET /pages/forms/ HTTP/1.1" 200 None
2024-05-29 14:05:12,286:DEBUG:Successfully fetched URL: https://www.scrapethissite.com/pages/forms/
2024-05-29 14:05:12,346:DEBUG:Forms Data: []
2024-05-29 14:05:12,347:DEBUG:Starting new HTTPS connection (1): www.scrapethissite.com:443
2024-05-29 14:05:13,632:DEBUG:https://www.scrapethissite.com:443 "GET /pages/advanced/ HTTP/1.1" 200 None
2024-05-29 14:05:13,633:DEBUG:Successfully fetched URL: https://www.scrapethissite.com/pages/advanced/
2024-05-29 14:05:13,649:DEBUG:Advanced Data: []
2024-05-29 14:05:13,650:DEBUG:Done
2024-05-29 14:05:45,181:DEBUG:Starting new HTTPS connection (1): www.scrapethissite.com:443
2024-05-29 14:05:53,674:DEBUG:https://www.scrapethissite.com:443 "GET /pages/ajax-javascript/data?year=2015 HTTP/1.1" 404 None
2024-05-29 14:05:53,677:ERROR:Error fetching https://www.scrapethissite.com/pages/ajax-javascript/data?year=2015: 404 Client Error: NOT FOUND for url: https://www.scrapethissite.com/pages/ajax-javascript/data?year=2015
2024-05-29 14:05:53,686:ERROR:Failed to fetch AJAX data
2024-05-29 14:05:53,691:DEBUG:Starting new HTTPS connection (1): www.scrapethissite.com:443
2024-05-29 14:05:56,051:DEBUG:https://www.scrapethissite.com:443 "GET /pages/forms/ HTTP/1.1" 200 None
2024-05-29 14:05:56,054:DEBUG:Successfully fetched URL: https://www.scrapethissite.com/pages/forms/
2024-05-29 14:05:56,109:DEBUG:Forms Data: []
2024-05-29 14:05:56,111:DEBUG:Starting new HTTPS connection (1): www.scrapethissite.com:443
2024-05-29 14:05:57,675:DEBUG:https://www.scrapethissite.com:443 "GET /pages/advanced/ HTTP/1.1" 200 None
2024-05-29 14:05:57,675:DEBUG:Successfully fetched URL: https://www.scrapethissite.com/pages/advanced/
2024-05-29 14:05:57,682:DEBUG:Advanced Data: []
2024-05-29 14:05:57,683:DEBUG:Done
2024-05-29 14:30:06,140:DEBUG:Starting new HTTPS connection (1): www.scrapethissite.com:443
2024-05-29 14:30:07,863:DEBUG:https://www.scrapethissite.com:443 "GET /pages/ajax-javascript/data?year=2015 HTTP/1.1" 404 None
2024-05-29 14:30:08,705:ERROR:Error fetching https://www.scrapethissite.com/pages/ajax-javascript/data?year=2015: 404 Client Error: NOT FOUND for url: https://www.scrapethissite.com/pages/ajax-javascript/data?year=2015
2024-05-29 14:30:08,711:ERROR:Failed to fetch AJAX data
2024-05-29 14:30:08,715:DEBUG:Starting new HTTPS connection (1): www.scrapethissite.com:443
2024-05-29 14:30:10,752:DEBUG:https://www.scrapethissite.com:443 "GET /pages/forms/ HTTP/1.1" 200 None
